GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.InterfaceSecurity.new OncePerRequestFilter() {...},47,0,8,0,13,0,6,0,2,0
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.AdminMonitorSecurity,6,24,1,1,1,12,1,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,CatalogConfig,137,287,12,2,21,36,9,14,2,14
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.DownloadSecurity,6,16,1,1,1,8,1,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.AdminSecurity,6,24,1,1,1,12,1,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,UaaConfig,44,0,4,0,12,0,6,0,4,0
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.NoUaaSecurity,6,17,1,1,1,8,1,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,FilerConfig,4,25,2,4,1,6,2,3,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.dbdumper,DatabaseRefManager,42,615,16,54,6,127,16,42,0,23
db-dumper-service,com.orange.clara.cloud.servicedbdumper.filer.s3uploader,UploadS3StreamImpl,3,236,0,10,1,63,1,12,1,7
